Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_048126745.1	Mammals	Laurasiatheria	Cetartiodactyla (Ruminantia)	Cervidae	Giraffes/Goats/Sheep/Deers/Cow	60	Dama dama	fallow deer	30532	mDamDam1	GCA_048126745.1_DamDam1_v1.mat	Dama dama	fallow deer (maternal hap SK-2024 2025)	mammals
GCA_048128725.1	Fishes	Actinopterygii (Ray-finned Fishes)	Lutjaniformes	Lutjanidae	Snappers	66	Symphorus nematophorus	chinamanfish	396798	fSymNem1	GCA_048128725.1_fSymNem1.1_haplotype_1	Symphorus nematophorus	chinamanfish (OG11 2025)	fish
GCA_048128805.1	Fishes	Actinopterygii (Ray-finned Fishes)	Beryciformes	Berycidae	Beryciforms	130	Centroberyx gerrardi	bight redfish	166262	fCenGer3	GCA_048128805.1_fCenGer3.hap1.cur.20231027	Centroberyx gerrardi	bight redfish (hap1 2025)	fish
GCA_048129055.1	Fishes	Actinopterygii (Ray-finned Fishes)	Lutjaniformes	Lutjanidae	Snappers	66	Caesio teres	yellow and blueback fusilier	1311420	fCaeTer1	GCA_048129055.1_fCaeTer1.1_haplotype_1	Caesio teres	yellow and blueback fusilier (OG672 2025)	fish
GCA_048129235.1	Fishes	Actinopterygii (Ray-finned Fishes)	Perciformes	Serranidae	Perch-fishes	50	Epinephelus rankini	rankin cod	2930458	fEpiMut1	GCA_048129235.1_fEpiMut1.hap1.cur.20240206	Epinephelus rankini	Rankin cod (hap1 2025)	fish
GCA_048301445.1	Fishes	Actinopterygii (Ray-finned Fishes)	Syngnathiformes	Syngnathidae	Pipefishes/Seahorses	100	Syngnathus typhle	broad-nosed pipefish	161592	fSynTyp1	GCA_048301445.1_SynTyp1_v1.hap1	Syngnathus typhle	broad-nosed pipefish (SK-2024d hap1 2025)	fish
GCA_048301465.1	Fishes	Actinopterygii (Ray-finned Fishes)	Syngnathiformes	Aulostomidae	Pipefishes/Seahorses	100	Aulostomus maculatus	West Atlantic trumpetfish	150449	fAulMac1	GCA_048301465.1_ASM4830146v1	Aulostomus maculatus	trumpetfish (SK-2024c 2025)	fish
GCA_048301585.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Gobionidae	Carps/Minnows/Loaches	175	Rhinogobio nasutus	Rhinogobio nasutus	2590489	fRhiNas1	GCA_048301585.1_ASM4830158v1	Rhinogobio nasutus	bony fish R.nasutus (DBWJ_T2T 2025)	fish
GCA_048338725.1	Mammals	Laurasiatheria	Cetartiodactyla (Suina)	Suina	Pigs	64	Sus scrofa	pig	9823	mSusScr2	GCA_048338725.1_T2T_pig1.0	Sus scrofa	pig (Wuzhishan WZS1 2025)	mammals
GCA_048537225.1	Fishes	Actinopterygii (Ray-finned Fishes)	Polymixiiformes	Polymixiidae	Beardfishes	155	Polymixia cf. hollisterae	Bermuda beardfish	3239838	fPolHol1	GCA_048537225.1_ASM4853722v1	Polymixia cf. hollisterae	Bermuda beardfish (OG660 hap1 2025)	fish
