Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_028020825.1	Birds	Caprimulgimorphae	Caprimulgiformes (Podargidae)	Podargidae	Frogmouths	59.96	Podargus strigoides	tawny frogmouth	8905	bPodStr1	GCA_028020825.1_bPodStr1.pri	Podargus strigoides	tawny frogmouth (bPodStr1 primary hap 2023)	birds
GCA_028022725.1	Fishes	Actinopterygii (Ray-finned Fishes)	Perciformes	Zoarcidae	Perch-fishes	50	Lycodopsis pacificus	blackbelly eelpout	1772091	fLycPai1	GCA_028022725.1_fLycPai1.hap2	Lycodopsis pacificus	blackbelly eelpout (fLycPai1 haplotype 2 2023)	fish
GCA_028022735.1	Birds	Core landbirds	Accipitriformes	Accipitridae	Eagles/Osprey	60.41	Gypaetus barbatus	bearded vulture	33610	bGypBar2	GCA_028022735.1_bGypBar2.pri	Gypaetus barbatus	lammergeier (bGypBar2 primary hap 2023)	birds
GCA_028451465.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Erethizontidae)	Erethizontidae	Porcupines	60	Erethizon dorsatum	North American porcupine	34844	mEreDor1	GCA_028451465.1_mEreDor1.pri	Erethizon dorsatum	North American porcupine (mEreDor1 primary hap 2023)	mammals
GCA_028571685.1	Mammals	Afrotheria	Hyracoidea	Procaviidae	Hyraxes	62.97	Heterohyrax brucei	yellow-spotted rock hyrax	77598	mHetBru1	GCA_028571685.1_mHetBru1.pri	Heterohyrax brucei	yellow-spotted hyrax (mHetBru1 2023)	mammals
GCA_028858755.1	Birds	Core landbirds	Psittaciformes 	Psittacidae	Parrots	54.62	Ara ararauna	blue-and-gold macaw	9226	bAraAra1	GCA_028858755.1_bAraAra1.hap1	Ara ararauna	blue-and-yellow macaw (hap1 2023)	birds
GCA_029215775.1	Reptiles	Squamata	Anguimorpha (Neoanguimorpha)	Anniellidae	New World anguimorph lizards	115	Anniella stebbinsi	Southern California legless lizard	2202111	rAnnSte1	GCA_029215775.1_rAnnSte1.0.hap1	Anniella stebbinsi	San Diegan legless lizard (HBS135921 primary hap 2023)	reptiles
GCA_030020295.1	Reptiles	Crocodylia	Gavialidae	Gavialidae	Gharials	70	Gavialis gangeticus	Indian gharial	94835	rGavGan2	GCA_030020295.1_rGavGan2.hap2	Gavialis gangeticus	gharial (hap2 2023)	reptiles
GCA_030035585.1	Mammals	Afrotheria	Sirenia	Dugongidae	Dugongs	64	Dugong dugon	dugong	29137	mDugDug1	GCA_030035585.1_mDugDug1.hap1	Dugong dugon	dugong (hap1 mDugDug1 2023)	mammals
GCA_030412105.1	Reptiles	Squamata	Iguania (Iguanidae)	Iguanidae	Iguanas	80	Cyclura pinguis	stout iguana	118683	rCycPin1	GCA_030412105.1_rCycPin1.hap1	Cyclura pinguis	Grand Cayman blue iguana (hap1 2023)	reptiles
GCA_030440675.1	Reptiles	Squamata	Iguania (Chamaeleonidae)	Chamaeleonidae	Chameleons	55	Furcifer pardalis	panther chameleon	187939	rFurPar1	GCA_030440675.1_ASM3044067v1	Furcifer pardalis	lizards F.pardalis (Fpa_1 2023)	reptiles
GCA_030463565.1	Birds	Core waterbirds	Pelecaniformes (Pelecanidae)	Pelecanidae	Pelicans	55.02	Pelecanus crispus	dalmatian pelican	36300	bPelCri1	GCA_030463565.1_bPelCri1.pri	Pelecanus crispus	Dalmatian pelican (primary hap 2023)	birds
GCA_030848825.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Molossidae	Regular bats	65	Tadarida brasiliensis	Brazilian free-tailed bat	9438	mTadBra1	GCA_030848825.1_DD_mTadBra1_pri	Tadarida brasiliensis	Brazilian free-tailed bat (primary hap 2023)	mammals
GCA_030867105.1	Reptiles	Squamata	Serpentes (Boidae & Pythonidae)	Pythonidae	Snakes (Pythons)	75	Liasis olivaceus	olive python	283338	rLiaOli1	GCA_030867105.1_rLiaOli1.hap1	Liasis olivaceus	olive python (hap1 2023)	reptiles
GCA_030867145.1	Birds	Core waterbirds	Opisthocomiformes	Opisthocomidae	Hoatzin	67.37	Opisthocomus hoazin	hoatzin	30419	bOpiHoa1	GCA_030867145.1_bOpiHoa1.hap1	Opisthocomus hoazin	hoatzin (hap1 2023)	birds
GCA_031216445.1	Fishes	Actinopterygii (Ray-finned Fishes)	Pempheriformes	Lateolabracidae	Asian sea basses	55	Lateolabrax maculatus	Chinese sea bass	315492	fLatMac1	GCA_031216445.1_YSFRI_Lmacu_1.1	Lateolabrax maculatus	spotted sea bass (ZS-2023 2023)	fish
GCA_031468815.1	Birds	Core waterbirds	Suliformes	Sulidae	Frigatebirds/Sula	53.25	Morus bassanus	Northern gannet	37578	bMorBas2	GCA_031468815.1_bMorBas2.hap2	Morus bassanus	northern gannet (hap2 2023)	birds
GCA_031876335.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Hipposideridae	Megabats	65	Hipposideros larvatus	intermediate roundleaf bat	175524	mHipLar1	GCA_031876335.1_mHipLar1.pri	Hipposideros larvatus	intermediate roundleaf bat (primary hap 2023)	mammals
GCA_031877795.1	Birds	Core landbirds	Strigiformes	Strigidae	Owls	62.09	Strix aluco	tawny owl	111821	bStrAlu1	GCA_031877795.1_bStrAlu1.hap1	Strix aluco	tawny owl (hap1 2023)	birds
GCA_031878675.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Geomyoidea)	Geomyoidea	Gophers, Kangaroo rats	59	Thomomys bottae	Botta's pocket gopher	10013	mThoBot2	GCA_031878675.1_mThoBot2.hap1	Thomomys bottae	Botta's pocket gopher (hap1 2023)	mammals
GCA_031878705.1	Mammals	Laurasiatheria	Perissodactyla (Tapiridae)	Tapiridae	Tapirs	51	Tapirus indicus	Malayan tapir	9802	mTapInd1	GCA_031878705.1_mTapInd1.hap2	Tapirus indicus	Asiatic tapir (hap2 2023)	mammals
GCA_031885435.1	Birds	Core landbirds	Passeriformes (Oscines)	Passerellidae	Songbirds	29.59	Passerculus sandwichensis	Savannah sparrow	161624	bPasSan2	GCA_031885435.1_bPasSan2.pri	Passerculus sandwichensis	Savannah sparrow (primary hap 2023)	birds
GCA_031893055.1	Amphibians	Anura	Neobatrachia > Hyloidea (Leptodactylidae & Centrolenidae)	Leptodactylidae	Tropical frogs + Glass frogs	60	Leptodactylus fuscus	rufous frog	238119	aLepFus1	GCA_031893055.1_aLepFus1.hap2	Leptodactylus fuscus	rufous frog (hap2 2023)	amphibians
GCA_032164245.1	Reptiles	Testudines (Cryptodira)	Kinosternidae	Kinosternidae	Mud/Musk turtles	80	Sternotherus odoratus	Eastern musk turtle	142480	rSteOdo2_p1.0	GCA_032164245.1_rSteOdo2_p1.0	Sternotherus odoratus	eastern musk turtle (primary hap 2023)	reptiles
GCA_033349115.1	Reptiles	Testudines (Cryptodira)	Chelydridae	Chelydridae	Snapping turtles	85	Macrochelys suwanniensis	Suwannee snapping turtle	3026461	rMacSuw1	GCA_033349115.1_rMacSuw1.hap2	Macrochelys suwanniensis	Suwannee snapping turtle (hap2 2023)	reptiles
GCA_033958435.1	Reptiles	Testudines (Cryptodira)	Carettochelyidae	Carettochelyidae	Pig-nosed turtle	140	Carettochelys insculpta	pig-nosed turtle	44489	ASM3395843v1	GCA_033958435.1_ASM3395843v1	Carettochelys insculpta	pitted-shelled turtle (YL-2023 2023)	reptiles
GCA_034619465.1	Birds	Core landbirds	Leptosomiiformes	Leptosomidae	Cuckoo-roller	58.69	Leptosomus discolor	cuckoo-roller	188344	bLepDis1	GCA_034619465.1_bLepDis1.hap2	Leptosomus discolor	cuckoo roller (hap2 2023)	birds
GCA_035046505.1	Reptiles	Squamata	Scincoidea	Scincoidea	Skinks/Night/Plated/Girdle lizards	167	Tiliqua scincoides	blue-tongue skink	71010	rTilSci1	GCA_035046505.1_rTilSci1.hap2	Tiliqua scincoides	common blue-tongued skink (hap2 2024)	reptiles
GCA_035083965.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Lancets/Amphioxus	750	Branchiostoma lanceolatum	European lancelet	7740	klBraLanc5	GCA_035083965.1_klBraLanc5.hap2	Branchiostoma lanceolatum	amphioxus (hap2 2024 genbank)	invertebrate
GCA_035084275.1	Fishes	Chondrichthyes (Cartilaginous Fishes)	Chimaeriformes	Chimaeridae	Chimaeras/ratfish sharks	332	Hydrolagus colliei	spotted ratfish	7873	sHydCol1	GCA_035084275.1_sHydCol1.hap2	Hydrolagus colliei	spotted ratfish (hap2 2024)	sharks
GCA_036010785.1	Birds	Core landbirds	Passeriformes (Oscines)	Passerellidae	Songbirds	29.59	Ammospiza maritima	seaside sparrow	2707177	bAmmMai1	GCA_036010785.1_bAmmMar1.pri	Ammospiza maritima maritima	seaside sparrow (bAmmMar1 primary hap 2024)	birds
GCA_036172795.1	Amphibians	Anura	Archaeobatrachia > Pelobatoidea (Pelodytidae)	Pelodytidae	Parsley Frogs	111	Pelodytes ibericus	Iberian parsley frog	233781	aPelIbe1	GCA_036172795.1_aPelIbe1.pri	Pelodytes ibericus	Iberian parsley frog (aPelIbe1 2024)	amphibians
GCA_036417435.1	Mammals	Laurasiatheria	Cetartiodactyla (Cetacea)	Iniidae	Whales, dolphines, orcas	54	Inia geoffrensis	Amazon river dolphin	9725	mIniGeo1	GCA_036417435.1_mIniGeo1.hap1	Inia geoffrensis	boutu (hap1 2024)	mammals
GCA_036417535.1	Birds	Otidimorphae	Otidiformes	Otididae	Bustards	62.92	Chlamydotis macqueenii	MacQueen's bustard	187382	bChlMac1	GCA_036417535.1_bChlMac1.mat	Chlamydotis macqueenii	Macqueen's bustard (maternal hap 2024)	birds
GCA_036426135.1	Mammals	Laurasiatheria	Perissodactyla (Equidae)	Equidae	Horses/Donkeys/Zebras	60	Equus caballus	Arabian horse	9796	mEquCab1	GCA_036426135.1_mEquCab1.pat	Equus caballus	horse (paternal hap 2024)	mammals
GCA_036784965.1	Fishes	Actinopterygii (Ray-finned Fishes)	Salmoniformes	Salmonidae	Salmon/Trout/Chars/Whitefish/Graylings	90	Salvelinus alpinus	Arctic char	8036	fSalAlp2	GCA_036784965.1_fSalAlp2_p1.0	Salvelinus alpinus oquassa	Arctic char (CBP00131 primary hap 2024)	fish
GCA_036873955.1	Birds	GalloAnserformes	Anseriformes	Anatidae	Waterfowl	68.95	Mergus octosetaceus	Brazilian merganser	1570318	bMerOct1	GCA_036873955.1_bMerOct1.hap1	Mergus octosetaceus	Brazilian merganser (hap1 2024)	birds
GCA_036971685.2	Birds	Columbea	Columbiformes	Columbidae	Doves	66.72	Patagioenas fasciata	band-tailed pigeon	372321	bPatFas1	GCA_036971685.2_bPatFas1.hap2	Patagioenas fasciata	band-tailed pigeon (v2 hap2 2025)	birds
GCA_037038515.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Cricetidae	Hamsters, New World rats & mice, muskrats, voles	50	Microtus pennsylvanicus	Eastern meadow vole	10058	mMicPen1	GCA_037038515.1_mMicPen1.hap1	Microtus pennsylvanicus	meadow vole (hap1 2024)	mammals
GCA_037038545.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Vespertilionidae	Regular bats	65	Rhynchonycteris naso	proboscis bat	249017	mRhyNas2	GCA_037038545.1_mRhyNas2.hap1	Rhynchonycteris naso	proboscis bat (hap1 2024)	mammals
GCA_037039145.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cyprinodontiformes	Fundulidae	Killifish/Live-bearers	75	Fundulus diaphanus	banded killifish	54267	fFunDia1	GCA_037039145.1_fFunDia1.hap1	Fundulus diaphanus	banded killifish (hap1 2024)	fish
GCA_037157525.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Molossidae	Regular bats	65	Molossus alvarezi 	Alvarez's mastiff bat	1552295	mMolAlv2	GCA_037157525.1_mMolAlv2.hap1	Molossus alvarezi	Alvarez's mastiff bat (hap1 2024)	mammals
GCA_037306005.1	Amphibians	Anura	Archaeobatrachia > Discoglossoidea (Rhinophrynidae)	Rhinophrynidae	Mexican burrowing toad	160	Rhinophrynus dorsalis	Mexican burrowing toad	43566	aRhiDor1	GCA_037306005.1_aRhiDor1.hap1	Rhinophrynus dorsalis	Mexican burrowing toad (hap1 2024)	amphibians
GCA_037893015.1	Mammals	Marsupials	Peramelemorphia	Peramelidae	Bandicoots/Bilbies	63	Macrotis lagotis	greater bilby	92651	mMacLag1	GCA_037893015.1_bilby.v1.9.chrom.fasta	Macrotis lagotis	bilby (mMagLag1 2024)	mammals
GCA_037962945.1	Birds	Core landbirds	Cathartiformes	Cathartidae	Vultures/Secretary bird	60.41	Sarcoramphus papa	king vulture	43583	bSarPap1	GCA_037962945.1_bSarPap1.hap1	Sarcoramphus papa	king vulture (hap1 2024)	birds
GCA_038024135.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Gobionidae	Carps/Minnows/Loaches	175	Cyprinella venusta	blacktail shiner	28792	fCypVen1	GCA_038024135.1_fCypVen1.hap2	Cyprinella venusta	blacktail shiner (hap2 2024)	fish
GCA_038048845.1	Amphibians	Anura	Neobatrachia > (Myobatrachidae & Calyptocephalellidae)	Limnodynastidae	Australian ground frogs + Chilean frogs	100	Mixophyes fleayi	Fleay's barred frog	3061075	aMixFle1	GCA_038048845.1_aMixFle1.hap1	Mixophyes fleayi	Fleay's barred frog (hap1 2024)	amphibians
GCA_038355195.1	Fishes	Actinopterygii (Ray-finned Fishes)	Osmeriformes	Osmeridae	Freshwater smelts/Noodlefish	140	Osmerus mordax	rainbow smelt	8014	fOsmMor3	GCA_038355195.1_fOsmMor3.pri	Osmerus mordax	rainbow smelt (fOsmMor3 primary hap 2024)	fish
GCA_038363095.2	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Phyllostomidae	Regular bats	65	Artibeus lituratus	great fruit-eating bat	27634	mArtLit1	GCA_038363095.2_mArtLit.hap1	Artibeus lituratus	great fruit-eating bat (v2 hap1 2024)	mammals
GCA_038363145.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Phyllostomidae	Regular bats	65	Artibeus intermedius	intermediate fruit-eating bat	51014	mArtInt1	GCA_038363145.1_mArtInt1.hap1	Artibeus intermedius	great fruit-eating bat (hap1 2024)	mammals
GCA_038501925.1	Amphibians	Anura	Archaeobatrachia > Pipoidea (Pipidae)	Pipidae	Tongueless/Clawed frogs	185	Xenopus petersii	Peter's clawed frog	288555	aXenPet1	GCA_038501925.1_aXenPet1.paternal.cur	Xenopus petersii	Peter's clawed frog (aXenPet1 2024)	amphibians
GCA_039655065.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Phyllostomidae	Regular bats	65	Glossophaga mutica	Merriam's long-tongued bat	2994998	mGloMut1	GCA_039655065.1_mGloMut1.hap1	Glossophaga mutica	Merriam's long-tongued bat (hap1 2024)	mammals
GCA_039720435.1	Birds	Core landbirds	Psittaciformes 	Psittacidae	Parrots	54.62	Amazona ochrocephala 	yellow-crowned amazon	151761	bAmaOch1	GCA_039720435.1_bAmaOch1.hap1	Amazona ochrocephala	yellow-crowned parrot (bAmaOch1hap1 2024)	birds
GCA_039878825.1	Birds	GalloAnserformes	Galliformes	Phasianidae	Landfowl	68.95	Coturnix chinensis	king quail	46218	bCotChi1	GCA_039878825.1_bCotChi1.hap2	Excalfactoria chinensis	bird E.chinensis (hap2 2024)	birds
GCA_039880945.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Molossidae	Regular bats	65	Molossus nigricans	Ebon mastiff bat	2997257	mMolNig1	GCA_039880945.1_mMolNig1.hap1	Molossus nigricans	northern black mastiff bat (mMolNig1hap1 2024)	mammals
GCA_039906565.1	Birds	Caprimulgimorphae	Caprimulgiformes (Aegothelidae)	Aegothelidae	Owlet nightjars	56.62	Aegotheles albertisi	mountain owlet-nightjar	48277	bAegAlb1	GCA_039906565.1_bAegAlb1.hap1	Aegotheles albertisi	bird A.albertisi (hap1 2024)	birds
GCA_040206685.1	Amphibians	Anura	Archaeobatrachia > Leiopelmatoidea (Ascaphidae & Leiopelmatidae)	Ascaphidae	Tailed frogs	210	Ascaphus truei	coastal tailed frog	8439	aAscTru1	GCA_040206685.1_aAscTru1.hap1	Ascaphus truei	tailed frog (A.truei hap1 2024)	amphibians
GCA_040805955.1	Mammals	Laurasiatheria	Cetartiodactyla (Ruminantia)	Bovidae	Giraffes/Goats/Sheep/Deers/Cow	60	Ovis aries	domestic sheep	9940	mOviAri1	GCA_040805955.1_T2T-sheep1.0	Ovis aries	sheep (hu hu3095 2024)	mammals
GCA_040894355.2	Reptiles	Testudines (Pleurodira)	Chelidae	Chelidae	Austro-American sideneck turtles	130	Myuchelys georgesi	Bellinger river turtle	1041117	rMyuGeo1	GCA_040894355.2_rMyuGeo1.pri	Myuchelys georgesi	Bellinger river turtle (v2 BRST_UC0152H_USYD 2025)	reptiles
GCA_040939525.1	Fishes	Sarcopterygii (Lobe-finned fishes)	Ceratodontiformes	Protopteridae	Lungfish	300	Protopterus annectens	West African lungfish	7888	kxProAnne1	GCA_040939525.1_ASM4093952v1	Protopterus annectens	West African lungfish (Aquariam Glaser DD20220218a primary hap 2024)	fish
GCA_040954625.2	Invertebrates	Hemichordata	Enteropneusta	Harrimaniidae	Acorn worms	800	Balanoglossus misakiensis	acorn worm	10224	ASM4095459v1	GCA_040954625.2_keBalMisa1.hap1	Saccoglossus sp. HW-2024a	hemichordates Saccoglossus HW-2024a (v2 hap1 2025)	invertebrate
GCA_040955705.1	Mammals	Laurasiatheria	Carnivora (Caniformia)	Canidae	Dog-like (Seals/Bears/Racoons)	57	Lycaon pictus	African hunting dog	9622	mLycPic1	GCA_040955705.1_LycPic1.final.hap2	Lycaon pictus	African hunting dog (LycPic1hap2 2024)	mammals
GCA_041735815.1	Mammals	Laurasiatheria	Cetartiodactyla (Ruminantia)	Bovidae	Giraffes/Goats/Sheep/Deers/Cow	60	Capra hircus	goat	9925	mCapHir4	GCA_041735815.1_T2T-goat2.0	Capra hircus	Inner Mongolia cashmere goat (2024)	mammals
GCA_041753875.1	Fishes	Actinopterygii (Ray-finned Fishes)	Spariformes	Sparidae	Sea breams/Porgies	50	Acanthopagrus schlegelii	black porgy	72011	fAcaSch1	GCA_041753875.1_ASM4175387v1	Acanthopagrus schlegelii	black porgy (SG-2024 2024)	fish
GCA_041834305.1	Mammals	Laurasiatheria	Cetartiodactyla (Cetacea)	Balaenopteridae	Whales, dolphines, orcas	54	Megaptera novaeangliae	humpback whale	9773	mMegNov1	GCA_041834305.1_ASM4183430v1	Megaptera novaeangliae	humpback whale (KW2013002 2024)	mammals
GCA_041902795.1	Fishes	Actinopterygii (Ray-finned Fishes)	Gymnotiformes	Gymnotidae	South American Knifefish	150	Electrophorus electricus	electric eel	8005	fEleEle2	GCA_041902795.1_ASM4190279v1	Electrophorus electricus	electric eel (QZ-2024a 2024)	fish
GCA_041903045.1	Fishes	Actinopterygii (Ray-finned Fishes)	Perciformes	Serranidae	Perch-fishes	50	Epinephelus lanceolatus	giant grouper	310571	fEpiLan1	GCA_041903045.1_ASM4190304v1	Epinephelus lanceolatus	giant grouper (andai-2023 2024)	fish
GCA_042242135.1	Fishes	Actinopterygii (Ray-finned Fishes)	Scombriformes	Arripidae	Mackerels	100	Arripis georgiana	Australian herring	3352246	fArrGeo1	GCA_042242135.1_fArrGeo1.hap2	Arripis georgiana	Australian ruff (RE-2024a hap2 2024)	fish
GCA_043250625.1	Fishes	Actinopterygii (Ray-finned Fishes)	Scorpaeniformes	Sebastidae	Rockfishes	40	Sebastes fasciatus	Acadian redfish	394691	fSebFas1	GCA_043250625.1_fSebFas1.pri	Sebastes fasciatus	Acadian redfish (fSebFas1 primary hap 2024)	fish
GCA_043290085.1	Mammals	Afrotheria	Macroscelidea	Macroscelididae	Elephant shrews	75	Rhynchocyon petersi	black and rufous elephant shrew	320637	mRhyPet1	GCA_043290085.1_mRhyPet1.hap1	Rhynchocyon petersi	black and rufous elephant shrew (mRhyPet1hap1 2024)	mammals
GCA_043727835.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Hipposideridae	Megabats	65	Aselliscus stoliczkanus	Stoliczka's trident bat	188568	mAseSto1	GCA_043727835.1_ASM4372783v1	Aselliscus stoliczkanus	Stoliczka's trident bat (China 2021113_DDA primary hap 2024)	mammals
GCA_043728065.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinolophidae	Megabats	65	Rhinolophus affinis	intermediate horseshoe bat	59477	mRhiAff1	GCA_043728065.1_ASM4372806v1	Rhinolophus affinis	intermediate horseshoe bat (China 20211001_DDa primary hap 2024)	mammals
GCA_043728145.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinolophidae	Megabats	65	Rhinolophus trifoliatus	trefoil horseshoe bat	430492	mRhiTri1	GCA_043728145.1_ASM4372814v1	Rhinolophus trifoliatus	trefoil horseshoe bat (Malaysia primary hap 2024)	mammals
GCA_043748575.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinolophidae	Megabats	65	Rhinolophus perniger lanosus	Northern woolly horseshoe bat	3030661	mRhiPer1	GCA_043748575.1_ASM4374857v1	Rhinolophus perniger lanosus	northern woolly horseshoe bat (20210929_DDc primary hap 2024)	mammals
GCA_043748645.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Molossidae	Regular bats	65	Mops condylurus	Angolan free-tailed bat	258863	mMopCon1	GCA_043748645.1_ASM4374864v1	Mops condylurus	Angolan free-tailed bat (Cote d'Ivoire 20210831_DDa 2024)	mammals
GCA_043880285.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Hipposideridae	Megabats	65	Doryrhina cyclops	Cyclops roundleaf bat	249021	mDorCyc1	GCA_043880285.1_ASM4388028v1	Doryrhina cyclops	cyclops roundleaf bat (Cote d'Ivoire 20210929_DDa primary hap 2024)	mammals
GCA_043880425.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinolophidae	Megabats	65	Rhinolophus yonghoiseni	Yong hoi sen's woolly horseshoe bat	2952509	mRhiYon1	GCA_043880425.1_ASM4388042v1	Rhinolophus yonghoiseni	Yong Hoi Sen's woolly horseshoe bat (Malaysia 20210929_DDd primary hap 2024)	mammals
GCA_043880545.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Rhinopomatidae	Megabats	65	Rhinopoma microphyllum	Greater mouse-tailed bat	173903	mRhiMic1	GCA_043880545.1_ASM4388054v1	Rhinopoma microphyllum	greater mouse-tailed bat (20210906_DDa primary hap 2024)	mammals
GCA_043880595.1	Mammals	Laurasiatheria	Chiroptera (Yinpterochiroptera)	Megadermatidae	Megabats	65	Megaderma spasma	Lesser false vampire bat	9414	mMegSpa1	GCA_043880595.1_ASM4388059v1	Megaderma spasma	lesser false vampire bat (Vietnam 20211001_DDb primary hap 2024)	mammals
GCA_044231665.1	Fishes	Actinopterygii (Ray-finned Fishes)	Callionymiformes	Callionymidae	Dragonets	75	Neosynchiropus ocellatus	ocellated dragonet	34785	fSynOce1	GCA_044231665.1_SynOce1_v1.hap1	Neosynchiropus ocellatus	ocellated dragonet (captive hap1 2024)	fish
GCA_044231675.1	Fishes	Actinopterygii (Ray-finned Fishes)	Callionymiformes	Callionymidae	Dragonets	75	Synchiropus picturatus	picturesque dragonet	586865	fSynPic1	GCA_044231675.1_ASM4423167v1	Synchiropus picturatus	picturesque dragonet (SynPic1 hap2 2024)	fish
GCA_045345405.1	Birds	Core landbirds	Psittaciformes 	Psittacidae	Parrots	54.62	Guaruba guaruba	golden parakeet	51906	bGuaGua1	GCA_045345405.1_bGuaGua1_haplotype_1	Guaruba guarouba	golden parakeet (hap1 2024)	birds
GCA_045345515.1	Birds	Core landbirds	Accipitriformes	Accipitridae	Eagles/Osprey	60.41	Morphnus guianensis	crested eagle	252789	bMorGui1	GCA_045345515.1_bMorGui1_haplotype_2	Morphnus guianensis	crested eagle (hap2 2024)	birds
GCA_045362495.1	Fishes	Actinopterygii (Ray-finned Fishes)	Spariformes	Lethrinidae	Sea breams/Porgies	50	Lethrinus nebulosus	spangled emperor	182658	fLetNeb1	GCA_045362495.1_fLetNeb1.hap1	Lethrinus nebulosus	spangled emperor (hap1 2024)	fish
GCA_045363895.1	Fishes	Actinopterygii (Ray-finned Fishes)	Lutjaniformes	Lutjanidae	Snappers	66	Pristipomoides typus	sharptooth jobfish	264210	fPriTyp1	GCA_045363895.1_fPriTyp1.hap1	Pristipomoides typus	sharptooth jobfish (hap1 2024)	fish
GCA_045364795.1	Birds	Core landbirds	Passeriformes (Suboscines)	Thamnophilidae	Suboscines	29.59	Willisornis vidua	Xingu scale-backed antbird	1566151	bWilVid1	GCA_045364795.1_bWilVid1_haplotype_1	Willisornis vidua	Xingu scale-backed antbird (hap1 2024)	birds
GCA_045364815.1	Reptiles	Testudines (Pleurodira)	Podocnemididae	Podocnemididae	Madagascar big-headed, Big-headed Amazon River turtle and South American sideneck river turtles	100	Podocnemis expansa	arrau turtle	44507	rPodExp1	GCA_045364815.1_rPodExp1_haplotype_2	Podocnemis expansa	giant South American river turtle (hap2 2024)	reptiles
GCA_045781085.1	Reptiles	Testudines (Cryptodira)	Geoemydidae	Geoemydidae	Asian river, leaf, roofed/box turtles	60	Pangshura tecta	Indian roofed turtle	260642	rPanTec1	GCA_045781085.1_rPanTec1.hap2	Pangshura tecta	Indian roofed turtle (hap2 2024)	reptiles
GCA_045843805.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Sciuridae)	Sciuridae	Squirrels, Chipmunks	55	Urocitellus parryii	Arctic ground squirrel	9999	mUroPar1	GCA_045843805.1_mUroPar1.hap1	Urocitellus parryii	Arctic ground squirrel (hap1 2024)	mammals
GCA_046126795.1	Reptiles	Squamata	Dibamidae	Dibamidae	Legless lizards/Blind Skinks	180	Dibamus smithi	Smith's blind skink	266055	rDibSmi1	GCA_046126795.1_rDibSmi1.hap1	Dibamus cf. smithi	lizards D.cf. smithi (hap1 2024)	reptiles
GCA_046129655.1	Birds	Core landbirds	Passeriformes (Oscines)	Corvidae	Songbirds	29.59	Cyanocitta cristata	blue jay	28727	bCyaCrs1	GCA_046129655.1_bCyaCrs1.hap1	Cyanocitta cristata	blue jay (hap1 2024)	birds
GCA_046129695.1	Birds	Core landbirds	Passeriformes (Oscines)	Estrildidae	Songbirds	29.59	Lonchura striata domestica	Bengalese finch	40157	bLonStr1	GCA_046129695.1_bLonStr1.mat	Lonchura striata	white-rumped munia (maternal hap 2024)	birds
GCA_046255685.1	Fishes	Actinopterygii (Ray-finned Fishes)	Percopsiformes	Amblyopsidae	Cavefishes/Trout-perches	190	Amblyopsis spelaea	Northern cavefish	1195602	fAmbSpe1	GCA_046255685.1_fAmbSpe1.hap1	Amblyopsis spelaea	northern cavefish (hap1 2024)	fish
GCA_046562885.1	Mammals	Laurasiatheria	Carnivora (Feliformia)	Felidae	Cat-like (Civets/Mangooses/Hyenas)	57	Panthera onca	jaguar	9690	mPanOnc1	GCA_046562885.1_mPanOnc1_haplotype_1	Panthera onca	jaguar (hap1 2025)	mammals
GCA_046562895.1	Mammals	Afrotheria	Sirenia	Trichechidae	Manetees	64	Trichechus inunguis	Amazon manatee	9777	mTriInu1	GCA_046562895.1_mTriInu1_haplotype_2	Trichechus inunguis	Amazon manatee (hap2 2025)	mammals
GCA_047301625.1	Fishes	Actinopterygii (Ray-finned Fishes)	Labriformes sensu stricto	Labridae	Wrasses	64	Choerodon schoenleinii	blackspot tuskfish	241275	fChoSch1	GCA_047301625.1_ASM4730162v1	Choerodon schoenleinii	blackspot tuskfish (SL-2024 2025)	fish
